,name,link
63,ADIMAS PUSPITA SERASI,https://modi.esdm.go.id/portal/detailPerusahaan/91?jp=1
64,ADIMITRA BARATAMA NIAGA,https://modi.esdm.go.id/portal/detailPerusahaan/10022?jp=7
65,ADIMITRA BARATAMA NUSANTARA,https://modi.esdm.go.id/portal/detailPerusahaan/93?jp=1
66,ADINATA BARANIAGA SUKSES,https://modi.esdm.go.id/portal/detailPerusahaan/10321?jp=7
67,ADIN JAYA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/20647?jp=1
68,ADIPATI MAKMUR SEJAHTERA,https://modi.esdm.go.id/portal/detailPerusahaan/14194?jp=7
69,ADI RACHMAT MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/20144?jp=1
70,ADITYA BIRLA GLOBAL TRADING INDO,https://modi.esdm.go.id/portal/detailPerusahaan/10184?jp=7
71,ADITYA BUANA INTER,https://modi.esdm.go.id/portal/detailPerusahaan/99?jp=1
72,ADITYA BUMI PERTAMBANGAN,https://modi.esdm.go.id/portal/detailPerusahaan/100?jp=1
73,ADITYA KIRANA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/101?jp=1
74,ADIZAM MINERAL TRADING,https://modi.esdm.go.id/portal/detailPerusahaan/17808?jp=7
75,ADNIS GLOBAL MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/11558?jp=1
76,ADS GLOBAL,https://modi.esdm.go.id/portal/detailPerusahaan/21094?jp=1
77,ADVANCE ENERGY MAHAJANA,https://modi.esdm.go.id/portal/detailPerusahaan/19532?jp=7
78,AEGA PRIMA,https://modi.esdm.go.id/portal/detailPerusahaan/106?jp=1
79,AERO MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/108?jp=1
80,AFA GLOBAL CENDANA,https://modi.esdm.go.id/portal/detailPerusahaan/20066?jp=7
81,AFFAN PUTRA BARA,https://modi.esdm.go.id/portal/detailPerusahaan/18454?jp=7
82,AFIT LINTAS JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/10852?jp=1
83,AGAPE MULIA LESTARI,https://modi.esdm.go.id/portal/detailPerusahaan/20112?jp=7
84,AGARO TRI NIAGA,https://modi.esdm.go.id/portal/detailPerusahaan/14846?jp=7
85,AGENSI SEJAHTERA,https://modi.esdm.go.id/portal/detailPerusahaan/18423?jp=7
86,AGI BUMI INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/20076?jp=7
87,AGINCOURT RESOURCES,https://modi.esdm.go.id/portal/detailPerusahaan/119?jp=2
88,AGISNA GEMILANG NIAGA,https://modi.esdm.go.id/portal/detailPerusahaan/19940?jp=9
89,AGNES CINTYA,https://modi.esdm.go.id/portal/detailPerusahaan/22130?jp=7
90,AGRABUDI BARAMULIA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/125?jp=1
91,AGRABUDI GASUTAMA PRIMA,https://modi.esdm.go.id/portal/detailPerusahaan/126?jp=1
92,AGRABUDI JASA BERSAMA,https://modi.esdm.go.id/portal/detailPerusahaan/127?jp=1
93,AGRA BUMI BORNEO,https://modi.esdm.go.id/portal/detailPerusahaan/18195?jp=7
94,AGRA COAL ENERGY,https://modi.esdm.go.id/portal/detailPerusahaan/21434?jp=7
95,AGRA SAPTA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/21093?jp=7
96,AGRO CITY KALTIM,https://modi.esdm.go.id/portal/detailPerusahaan/133?jp=1
97,AGUNG BARA PRIMA,https://modi.esdm.go.id/portal/detailPerusahaan/144?jp=1
98,AGUNG CHANDRA CREATIVE,https://modi.esdm.go.id/portal/detailPerusahaan/16983?jp=7
99,AGUNG KENCANA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/15976?jp=7
100,AGUNG MAKMUR INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/15799?jp=1
101,AGUNG MANDIRI PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/10169?jp=7
102,AGUNG MEGAH ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/18965?jp=7
103,AGUNG MINERAL ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/18477?jp=7
104,AGUNG MINERAL NUSANTARA,https://modi.esdm.go.id/portal/detailPerusahaan/21432?jp=7
105,AGUNG PERDANA SAKTI,https://modi.esdm.go.id/portal/detailPerusahaan/16045?jp=7
106,AGUNG PODO JOYO,https://modi.esdm.go.id/portal/detailPerusahaan/17477?jp=7
107,AGUNG PRATAMA MINERAL,https://modi.esdm.go.id/portal/detailPerusahaan/13497?jp=7
108,AGUNG PRATAMA PERSADA MULIA,https://modi.esdm.go.id/portal/detailPerusahaan/16334?jp=1
109,AGUNG SANGUN JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/8267?jp=1
110,AGUNG SATRYA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/11122?jp=1
111,AGUS GUNAWIJAYA,https://modi.esdm.go.id/portal/detailPerusahaan/14095?jp=1
112,AGUS SALIM,https://modi.esdm.go.id/portal/detailPerusahaan/18137?jp=1
113,AHLI KOMODITAS UNGGULAN,https://modi.esdm.go.id/portal/detailPerusahaan/17030?jp=7
114,AHMADI,https://modi.esdm.go.id/portal/detailPerusahaan/20880?jp=1
115,Ahmad Sayadi,https://modi.esdm.go.id/portal/detailPerusahaan/14760?jp=1
116,AHZA PUTRA,https://modi.esdm.go.id/portal/detailPerusahaan/20838?jp=1
117,Aimco Global Bisnis Indonesia,https://modi.esdm.go.id/portal/detailPerusahaan/21777?jp=7
118,AIRA DUTA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/19166?jp=7
119,AIRA SILIKA BILITON,https://modi.esdm.go.id/portal/detailPerusahaan/21571?jp=1
120,Air Mata Alam,https://modi.esdm.go.id/portal/detailPerusahaan/15019?jp=1
121,AIR MATA EMAS,https://modi.esdm.go.id/portal/detailPerusahaan/191?jp=1
122,AJDILANGGA BERKAH BERLIAN JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/20999?jp=7
123,AJI BUDI BARATAMA,https://modi.esdm.go.id/portal/detailPerusahaan/18334?jp=7
124,AJI PANGAN LESTARI,https://modi.esdm.go.id/portal/detailPerusahaan/18953?jp=7
125,AJI PANINDO BARATAMA,https://modi.esdm.go.id/portal/detailPerusahaan/19890?jp=7
126,AKA AZHARIYAH GROUP,https://modi.esdm.go.id/portal/detailPerusahaan/19289?jp=1
127,AKADA ANANTA SEJAHTERA,https://modi.esdm.go.id/portal/detailPerusahaan/14905?jp=7
128,AKAR MAS INTERNATIONAL,https://modi.esdm.go.id/portal/detailPerusahaan/201?jp=1
129,AKARNA MARINDO,https://modi.esdm.go.id/portal/detailPerusahaan/202?jp=1
130,AKAT SRIDA AMRI,https://modi.esdm.go.id/portal/detailPerusahaan/203?jp=1
131,AKBAR BARA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/17965?jp=7
132,AKBAR MITRA JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/207?jp=1
133,AKBAR TOMPO,https://modi.esdm.go.id/portal/detailPerusahaan/14312?jp=1
134,AK ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/10137?jp=7
135,AKHSA ENERGI INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/14351?jp=1
136,AKSAN RAYA PERKASA,https://modi.esdm.go.id/portal/detailPerusahaan/19142?jp=1
137,AKTHAR TUNGGAL MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/19584?jp=7
138,AKU IKAM TRADING,https://modi.esdm.go.id/portal/detailPerusahaan/19533?jp=7
139,ALAMANDA INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/270?jp=1
140,ALAM ANUGERAH ADIWARNA,https://modi.esdm.go.id/portal/detailPerusahaan/19059?jp=7
141,ALAM BAHTERA BARITO RAYA,https://modi.esdm.go.id/portal/detailPerusahaan/220?jp=1
142,ALAM BARA INDAH,https://modi.esdm.go.id/portal/detailPerusahaan/16758?jp=7
143,ALAM BERKAH SENTOSA,https://modi.esdm.go.id/portal/detailPerusahaan/16589?jp=1
144,ALAM DERAS TIARA,https://modi.esdm.go.id/portal/detailPerusahaan/10423?jp=7
145,ALAM DWIPA INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/19185?jp=1
146,ALAM FAJAR,https://modi.esdm.go.id/portal/detailPerusahaan/14861?jp=1
147,ALAM GUNUNG SEJAHTERA,https://modi.esdm.go.id/portal/detailPerusahaan/17691?jp=7
148,ALAM INDAH RESOURCES,https://modi.esdm.go.id/portal/detailPerusahaan/19330?jp=7
149,ALAMINDO GLOBAL SUKSES,https://modi.esdm.go.id/portal/detailPerusahaan/20755?jp=7
150,ALAMINDO JAYA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/13476?jp=7
151,ALAM INTI REZEKI,https://modi.esdm.go.id/portal/detailPerusahaan/15862?jp=7
152,ALAMJAYA BARAPRATAMA,https://modi.esdm.go.id/portal/detailPerusahaan/238?jp=1
153,ALAM JAYA MANGGALA,https://modi.esdm.go.id/portal/detailPerusahaan/20068?jp=7
154,ALAM JAYA PUTRA,https://modi.esdm.go.id/portal/detailPerusahaan/16941?jp=1
155,ALAM JAYA SABA KUARSA,https://modi.esdm.go.id/portal/detailPerusahaan/21424?jp=1
156,ALAM KALTENG RAYA,https://modi.esdm.go.id/portal/detailPerusahaan/20329?jp=1
157,ALAM KARYA GEMILANG,https://modi.esdm.go.id/portal/detailPerusahaan/9272?jp=1
158,ALAM KHATULISTIWA MINERAL,https://modi.esdm.go.id/portal/detailPerusahaan/17261?jp=1
159,ALAM LANGGENG INDOBARA,https://modi.esdm.go.id/portal/detailPerusahaan/18937?jp=7
160,ALAM LESTARI WIJAYA,https://modi.esdm.go.id/portal/detailPerusahaan/20806?jp=7
161,ALAM MEGAH PERKASA,https://modi.esdm.go.id/portal/detailPerusahaan/16872?jp=7
162,ALAM MENCAR JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/20779?jp=1
163,ALAM MINERAL MAINING,https://modi.esdm.go.id/portal/detailPerusahaan/19100?jp=7
164,ALAM MITRA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/250?jp=1
165,ALAM PERSADA NUSANTARA,https://modi.esdm.go.id/portal/detailPerusahaan/258?jp=1
166,ALAM PUTRA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/18705?jp=1
167,ALAM QUARRY PRATAMA,https://modi.esdm.go.id/portal/detailPerusahaan/20780?jp=1
168,ALAM RAHAYU,https://modi.esdm.go.id/portal/detailPerusahaan/19895?jp=1
169,ALAM RAYA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/259?jp=1
170,ALAM RAYA INDAH,https://modi.esdm.go.id/portal/detailPerusahaan/260?jp=1
171,ALAM SANGKARA GEMILANG,https://modi.esdm.go.id/portal/detailPerusahaan/15753?jp=7
172,ALAM SEKITAR JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/13102?jp=1
173,ALAM SEMESTA SUKSES BATU BARA,https://modi.esdm.go.id/portal/detailPerusahaan/11325?jp=1
174,ALAM SEMESTA TRADING,https://modi.esdm.go.id/portal/detailPerusahaan/19345?jp=7
175,ALAM SILIKA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/18776?jp=1
176,ALAM SULTRA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/14792?jp=7
177,ALAM SUMBER REZEKI,https://modi.esdm.go.id/portal/detailPerusahaan/18021?jp=1
178,ALAM SUNGAI ARTHA,https://modi.esdm.go.id/portal/detailPerusahaan/21147?jp=7
179,ALAM SURYA,https://modi.esdm.go.id/portal/detailPerusahaan/13828?jp=1
180,ALAM SUTERA,https://modi.esdm.go.id/portal/detailPerusahaan/267?jp=1
181,ALAM TAMBANG MAKMUR MINERAL,https://modi.esdm.go.id/portal/detailPerusahaan/21170?jp=7
182,ALAM TERANG PERKASA,https://modi.esdm.go.id/portal/detailPerusahaan/16300?jp=1
183,ALANTEC PRIMA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/16986?jp=7
184,ALASKA DWIPA PERDANA,https://modi.esdm.go.id/portal/detailPerusahaan/275?jp=1
185,ALBERTA SUKSES MAKMUR,https://modi.esdm.go.id/portal/detailPerusahaan/10473?jp=7
186,ALBETA MAJU SUKSES,https://modi.esdm.go.id/portal/detailPerusahaan/14244?jp=1
187,ALDAM BERSAUDARA ANUGERAH SEJAHTERA,https://modi.esdm.go.id/portal/detailPerusahaan/14077?jp=7
188,ALDY SURYA GEMILANG,https://modi.esdm.go.id/portal/detailPerusahaan/284?jp=1
189,ALENGKA SUKSES JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/15989?jp=7
190,ALESHA INTI BUMI,https://modi.esdm.go.id/portal/detailPerusahaan/19183?jp=1
191,ALEXANDRA INTI BUMI,https://modi.esdm.go.id/portal/detailPerusahaan/19091?jp=1
192,ALFA ANUGERAH SILIKA,https://modi.esdm.go.id/portal/detailPerusahaan/21765?jp=1
