nama_usaha,badan_usaha,jenis_izin,sk_iup,kode_wiup,nama_prov,nama_kab,tgl_berlaku,tgl_akhir,kegiatan,luas_sk,cnc,generasi,lokasi,komoditas_mapped,geometry
DELAPAN INTI POWER,PT,IUP,540/58/KEP/PELH/2010,3116103032014002,Sumatera Selatan,KAB. OGAN ILIR,2010-09-16,2030-09-07,OPERASI PRODUKSI,10550.0,CNC-1,-,KAB. OGAN ILIR,Coal,"[[[11615431.335143248, -395828.32060966006], [11615431.335143248, -393874.26465719414], [11618203.635741962, -393874.26465719414], [11618203.635741962, -392313.0540303072], [11620265.050072474, -392313.0540303072], [11620265.050072474, -391609.3012424106], [11625219.657968702, -391609.3012424106], [11625219.657968702, -388871.06779561023], [11626858.726151142, -388871.06779561023], [11626858.726151142, -380916.74324202497], [11630137.753071947, -380916.74324202497], [11630137.753071947, -391074.7422835686], [11631206.642822549, -391074.7422835686], [11631206.642822549, -398485.76244401664], [11628493.00759548, -398485.76244401664], [11628493.00759548, -395828.32060966006], [11615431.335143248, -395828.32060966006]]]"
DELAPAN NUSANTARA MINERAL,PT,IUP,03022400155540007,2121046112024080,Kepulauan Riau,KAB. LINGGA,2024-09-27,2031-09-27,EKSPLORASI,77.0,CNC,-,KAB. LINGGA,Non-Metallic Mineral,"[[[11640616.318633953, 20612.756745946037], [11640865.179478196, 20612.756745946037], [11640865.179478196, 20509.75473493034], [11640929.311861357, 20509.75473493034], [11640929.311861357, 20443.735814085998], [11640989.671738295, 20443.735814085998], [11640989.671738295, 20362.626793582273], [11641046.290167145, 20362.626793582273], [11641046.290167145, 20287.145561691297], [11641110.422550304, 20287.145561691297], [11641110.422550304, 20204.150340611028], [11641172.668624694, 20204.150340611028], [11641172.668624694, 20134.358793511325], [11641250.004835295, 20134.358793511325], [11641250.004835295, 20049.47726062982], [11641319.826868948, 20049.47726062982], [11641319.826868948, 19960.792370951847], [11641412.252993127, 19960.792370951847], [11641412.252993127, 19894.773356785936], [11641491.475289866, 19894.773356785936], [11641491.475289866, 19815.550564864225], [11641563.152685467, 19815.550564864225], [11641563.152685467, 19740.100411614985], [11641638.63353412, 19740.100411614985], [11641638.63353412, 19651.41542399838], [11641729.173349526, 19651.41542399838], [11641729.173349526, 19558.988863187788], [11641829.144486146, 19558.988863187788], [11641829.144486146, 19474.107354083797], [11641921.601445822, 19474.107354083797], [11641921.601445822, 19348.40847649274], [11642094.208550192, 19348.40847649274], [11642094.208550192, 19238.047164245254], [11642221.545691194, 19238.047164245254], [11642221.545691194, 19139.003204716537], [11642346.037951294, 19139.003204716537], [11642346.037951294, 19035.011855638557], [11642489.640094416, 19035.011855638557], [11642489.640094416, 18935.96790554299], [11642676.409487039, 18935.96790554299], [11642676.409487039, 18862.40398953965], [11642840.512895502, 18862.40398953965], [11642840.512895502, 18737.91118862357], [11642656.588383788, 18737.91118862357], [11642656.588383788, 18607.728608811587], [11642536.17776414, 18607.728608811587], [11642536.17776414, 18480.390929602374], [11642367.961657088, 18480.390929602374], [11642367.961657088, 18570.962185194825], [11642229.30710873, 18570.962185194825], [11642229.30710873, 18644.526091316984], [11642169.905803932, 18644.526091316984], [11642169.905803932, 18715.276053720492], [11642107.6286714, 18715.276053720492], [11642107.6286714, 18851.086421405194], [11642017.088855995, 18851.086421405194], [11642017.088855995, 18938.812798986426], [11641946.33908571, 18938.812798986426], [11641946.33908571, 19026.53918015892], [11641816.188121935, 19026.53918015892], [11641816.188121935, 19119.924182696792], [11641705.827203274, 19119.924182696792], [11641705.827203274, 19218.93719438098], [11641640.736247981, 19218.93719438098], [11641640.736247981, 19289.687175725507], [11641550.196321256, 19289.687175725507], [11641550.196321256, 19510.410034071563], [11641482.291431872, 19510.410034071563], [11641482.291431872, 19662.176396324157], [11641426.106035838, 19662.176396324157], [11641426.106035838, 19714.15661227536], [11641398.430785911, 19714.15661227536], [11641398.430785911, 19790.96742925977], [11641337.328741934, 19790.96742925977], [11641337.328741934, 19836.237611061893], [11641289.55409003, 19836.237611061893], [11641289.55409003, 19870.190220230117], [11641237.9760964, 19870.190220230117], [11641237.9760964, 19917.995940182594], [11641185.161231907, 19917.995940182594], [11641185.161231907, 19961.99830089652], [11641142.395957088, 19961.99830089652], [11641142.395957088, 20006.03149821578], [11641036.766116792, 20006.03149821578], [11641036.766116792, 20083.98647356952], [11640989.609955974, 20083.98647356952], [11640989.609955974, 20122.577459172244], [11640952.71990124, 20122.577459172244], [11640952.71990124, 20164.477099950767], [11640915.829846507, 20164.477099950767], [11640915.829846507, 20248.15259622461], [11640821.146497015, 20248.15259622461], [11640821.146497015, 20321.09817841623], [11640746.964412864, 20321.09817841623], [11640746.964412864, 20404.09351566], [11640694.149437053, 20404.09351566], [11640694.149437053, 20483.316219349195], [11640616.318633953, 20483.316219349195], [11640616.318633953, 20612.756745946037]]]"
DELAPAN PASIR BERTUAH,CV,SIPB,14032300705350004,2112055402023005,Sumatera Utara,KAB. LANGKAT,2023-06-15,2027-06-15,OPERASI PRODUKSI,13.37,CNC,-,KAB. LANGKAT,"Sand, Stone, Gravel",[]
DELIMA MUSTIKA PRIMA,PT,IUP,503/441/IUP-OP/BPPMD-PTSP/III/2016,2364023032016418,Kalimantan Timur,KAB. KUTAI KARTANEGARA,2016-03-11,2029-12-11,OPERASI PRODUKSI,372.0,CNC-21,-,KAB. KUTAI KARTANEGARA,Coal,"[[[13033687.969114186, -83658.37751112127], [13034399.176984407, -83658.37751112127], [13034399.176984407, -87202.98440798077], [13034028.112052202, -87202.98440798077], [13034028.112052202, -87799.83671715231], [13033272.067140121, -87799.83671715231], [13033272.067140121, -85378.4146539239], [13033687.969114186, -85378.4146539239], [13033687.969114186, -83658.37751112127]]]"
DELMA MINING CORPORATION,PT,PKP2B,449.K/30/DJB/2017,1300003032014037,Kalimantan Utara,KAB. BULUNGAN,2017-12-04,2047-11-01,OPERASI PRODUKSI,20160.0,,GEN III,KAB. BULUNGAN,Coal,"[[[13096738.091828633, 283958.4599617416], [13104159.428321354, 283958.4599617416], [13104159.428321354, 293244.5461159757], [13108797.666224744, 293244.5461159757], [13108797.666224744, 284887.00775622024], [13107870.040907962, 284887.00775622024], [13107870.040907962, 266316.5036108921], [13102304.066368306, 266316.5036108921], [13102304.066368306, 272815.90422003483], [13096738.091828633, 272815.90422003483], [13096738.091828633, 283958.4599617416]]]"
DELPLAST PRATAMA PUTRA,PT,IUP,24082200784310001,2232035402023277,Jawa Barat,KAB. CIANJUR,2023-09-25,2026-09-25,EKSPLORASI,19.5,CNC,-,KAB. CIANJUR,"Sand, Stone, Gravel","[[[11926136.093521671, -766568.7939388575], [11926191.289510068, -766568.7939388575], [11926191.289510068, -766596.0152976145], [11926293.796170736, -766596.0152976145], [11926293.796170736, -766576.8295630368], [11926342.62212391, -766576.8295630368], [11926342.62212391, -766567.6104652078], [11926538.63715684, -766567.6104652078], [11926538.63715684, -766547.8017775989], [11926611.58237013, -766547.8017775989], [11926611.58237013, -766536.8074192737], [11926700.637962768, -766536.8074192737], [11926700.637962768, -766518.2445567695], [11926783.540036587, -766518.2445567695], [11926783.540036587, -766574.587073572], [11926836.75698708, -766574.587073572], [11926836.75698708, -766595.7038157155], [11926915.144498952, -766595.7038157155], [11926915.144498952, -766629.8707453053], [11926933.573997254, -766629.8707453053], [11926933.573997254, -766674.6894283211], [11926921.297906445, -766674.6894283211], [11926921.297906445, -766767.3169413689], [11926906.671861188, -766767.3169413689], [11926906.671861188, -766842.0357777914], [11926863.442718053, -766842.0357777914], [11926863.442718053, -766877.8846297263], [11926794.362851443, -766877.8846297263], [11926794.362851443, -766921.2085559485], [11926765.326943379, -766921.2085559485], [11926765.326943379, -766975.0598498652], [11926735.363521319, -766975.0598498652], [11926735.363521319, -766954.0674165043], [11926673.766662207, -766954.0674165043], [11926673.766662207, -766933.698071291], [11926653.914723454, -766933.698071291], [11926653.914723454, -766922.3609787636], [11926602.924162777, -766922.3609787636], [11926602.924162777, -766908.6878727329], [11926534.060701257, -766908.6878727329], [11926534.060701257, -766887.0103809763], [11926493.64560353, -766887.0103809763], [11926493.64560353, -766865.332898043], [11926428.771053322, -766865.332898043], [11926428.771053322, -766853.6843366447], [11926397.292350356, -766853.6843366447], [11926397.292350356, -766809.3326157476], [11926377.780492647, -766809.3326157476], [11926377.780492647, -766780.3047037226], [11926414.206790382, -766780.3047037226], [11926414.206790382, -766709.6038321343], [11926354.24888813, -766709.6038321343], [11926354.24888813, -766697.2701105403], [11926306.597912174, -766697.2701105403], [11926306.597912174, -766676.2467280428], [11926290.363856876, -766676.2467280428], [11926290.363856876, -766651.921843895], [11926262.874065222, -766651.921843895], [11926262.874065222, -766635.570374741], [11926223.139240902, -766635.570374741], [11926223.139240902, -766627.5659123396], [11926124.466868775, -766627.5659123396], [11926124.466868775, -766599.8774267064], [11926136.093521671, -766599.8774267064], [11926136.093521671, -766568.7939388575]]]"
DELTA LESTARI BERKAH,PT,IUP,91203099714630002,1364026112022311,Kalimantan Timur,KAB. KUTAI KARTANEGARA,2023-05-29,2030-05-29,EKSPLORASI,100.5,CNC,-,KAB. KUTAI KARTANEGARA,Non-Metallic Mineral,"[[[13061474.303535141, -52629.92999174457], [13061824.44786148, -52629.92999174457], [13061824.44786148, -53133.49099716722], [13062324.68425726, -53133.49099716722], [13062324.68425726, -53838.47540333519], [13062174.647847572, -53838.47540333519], [13062174.647847572, -53989.5558212312], [13062024.600305928, -53989.5558212312], [13062024.600305928, -54140.63738266121], [13061874.541632337, -54140.63738266121], [13061874.541632337, -54241.36066694976], [13061474.303535141, -54241.36066694976], [13061474.303535141, -52629.92999174457]]]"
DEMPO BANGUN MITRA,PT,IUP,465/1/IUP/PMDN/2021,2113075332016001,Sumatera Barat,KAB. LIMA PULUH KOTA,2021-06-03,2026-05-17,OPERASI PRODUKSI,136.9,CNC,-,KAB. LIMA PULUH KOTA,Non-Metallic Mineral,"[[[11214164.70774382, 4965.777416371147], [11214164.70774382, 4477.208393759973], [11214011.024952887, 4477.208393759973], [11214011.024952887, 4358.776894927446], [11213699.330378668, 4358.776894927446], [11213699.330378668, 4042.134657234529], [11213642.124516865, 4042.134657234529], [11213642.124516865, 3783.9352836237504], [11213395.05714094, 3783.9352836237504], [11213395.05714094, 2421.1989829039044], [11212774.14173422, 2421.1989829039044], [11212774.14173422, 2840.1932255051765], [11212916.383330531, 2840.1932255051765], [11212916.383330531, 3979.9812996942956], [11213053.677332064, 3979.9812996942956], [11213053.677332064, 4333.111512448993], [11213643.979878819, 4333.111512448993], [11213643.979878819, 4965.777416371147], [11214164.70774382, 4965.777416371147]]]"
DENMAR JAYA MANDIRI,PT,IUP,12540014224460008,2472065442023095,Sulawesi Tengah,KAB. MOROWALI,2024-08-28,2029-08-28,OPERASI PRODUKSI,73.53,CNC,-,KAB. MOROWALI,Limestone,"[[[13582242.497141605, -295514.7626994629], [13582623.859126713, -295514.7626994629], [13582623.859126713, -296119.6301632289], [13582800.362413257, -296119.6301632289], [13582800.362413257, -296526.2919503806], [13582456.261510752, -296526.2919503806], [13582456.261510752, -296606.52864165773], [13582318.781939615, -296606.52864165773], [13582318.781939615, -296705.64832291106], [13581663.295597112, -296705.64832291106], [13581663.295597112, -296306.6318780621], [13582196.052201016, -296306.6318780621], [13582196.052201016, -295682.84991832473], [13582242.497141605, -295682.84991832473], [13582242.497141605, -295514.7626994629]]]"
DERMAGA ENERGI,PT,IUP,89/1/IUP/PMA/2021,3364023032014392,Kalimantan Timur,KAB. KUTAI KARTANEGARA,2021-12-31,2026-03-09,EKSPLORASI,3120.0,I.T,-,KAB. KUTAI KARTANEGARA,Coal,"[[[12938017.83423027, 50096.45043379877], [12938017.83423027, 59367.5416729967], [12940909.976383392, 59367.5416729967], [12940909.976383392, 55731.26611785148], [12944274.917238168, 55731.26611785148], [12944274.917238168, 55041.98691186572], [12940924.819056375, 55041.98691186572], [12940924.819056375, 54414.24566236823], [12941200.025550548, 54414.24566236823], [12941200.025550548, 53820.520265865234], [12941311.34504134, 53820.520265865234], [12941311.34504134, 53399.96508697471], [12941577.274948385, 53399.96508697471], [12941577.274948385, 52910.760829988176], [12941485.745502705, 52910.760829988176], [12941485.745502705, 50096.45043379877], [12938017.83423027, 50096.45043379877]]]"
DERMAGA PRATAMA PERKASA,PT,IUP,503/895/IUP-OP/DPMPTSP/II/2020,3364023032014414,Kalimantan Timur,KAB. KUTAI KARTANEGARA,2020-02-06,2030-02-05,OPERASI PRODUKSI,335.1,CNC-1,-,KAB. KUTAI KARTANEGARA,Coal,"[[[13040150.053198272, -35098.09938892136], [13040150.053198272, -31584.58557122189], [13041152.039934905, -31584.58557122189], [13041152.039934905, -32100.335199529145], [13041461.508119313, -32100.335199529145], [13041461.508119313, -32748.44564992233], [13041299.42694071, -32748.44564992233], [13041299.42694071, -33403.45834152662], [13041078.346431997, -33403.45834152662], [13041078.346431997, -34073.83369426163], [13040849.918836895, -34073.83369426163], [13040849.918836895, -34552.84839515156], [13040665.79639912, -34552.84839515156], [13040665.79639912, -35098.09938892136], [13040150.053198272, -35098.09938892136]]]"
DEVANADI KARUNIA CAHAYA,PT,IUP,45/1/IUP/PMA/2016,3115043032014068,Jambi,KAB. BATANG HARI,2016-11-05,2036-11-04,OPERASI PRODUKSI,1472.0,CNC-16,IUP PMA,KAB. BATANG HARI,Coal,"[[[11464052.167935506, -191281.78620858514], [11464052.189754128, -191281.78620858514], [11464052.189754128, -194499.05439717378], [11462490.711256772, -194499.05439717378], [11462490.711256772, -193741.17438378505], [11462490.661830915, -193741.17438378505], [11462490.661830915, -193741.1620216172], [11463588.395686092, -193741.1620216172], [11463588.395686092, -192921.35041946886], [11462289.668256393, -192921.35041946886], [11462289.668256393, -192859.4779247711], [11462196.902051179, -192859.4779247711], [11462196.902051179, -192766.6693281125], [11462042.291634925, -192766.6693281125], [11462042.291634925, -192673.86077225624], [11461825.83700765, -192673.86077225624], [11461825.83700765, -192581.05214581202], [11461609.382491693, -192581.05214581202], [11461609.382491693, -192287.15865364508], [11460675.535639891, -192287.15865364508], [11460675.535639891, -192295.5210992645], [11460675.535639891, -192717.1218964914], [11460675.535639891, -192717.1713449045], [11460236.491568204, -192717.1713449045], [11460236.442142352, -192717.1713449045], [11460236.442142352, -194499.05439717378], [11457558.764557965, -194499.05439717378], [11457558.589897683, -194499.10384601334], [11457558.589897683, -194499.05439717378], [11457558.589897683, -191591.0967757766], [11460248.810962291, -191591.0967757766], [11460248.810962291, -191591.0596896663], [11460248.810962291, -191281.73676050716], [11464052.226823518, -191281.73676050716], [11464052.167935506, -191281.78620858514]]]"
DEWADARU KARYAUTAMA JAYA,PT,IUP,1704/1/IUP/PMDN/2021,2364015332020066,Kalimantan Timur,KAB. PASER,2021-12-07,2026-12-07,OPERASI PRODUKSI,2.74,CNC,-,KAB. PASER,"Sand, Stone, Gravel","[[[12946351.953366775, -171972.95871435362], [12946490.175104951, -171972.95871435362], [12946490.175104951, -172174.64404472787], [12946351.953366775, -172174.64404472787], [12946351.953366775, -171972.95871435362]]]"
DEWATA SARI PRIMA,PT,IUP,545/07820/PZ/2020,2234355442018446,DI Yogyakarta,KAB. GUNUNGKIDUL,2020-12-08,2025-12-08,OPERASI PRODUKSI,4.46,CNC,-,KAB. GUNUNGKIDUL,Limestone,"[[[12317971.671878776, -902654.4785479368], [12318101.544655142, -902654.4785479368], [12318101.544655142, -902994.9115322282], [12318030.423856987, -902994.9115322282], [12318030.423856987, -902919.9535595839], [12317916.01213338, -902919.9535595839], [12317916.01213338, -902810.6401511705], [12317971.671878776, -902810.6401511705], [12317971.671878776, -902654.4785479368]]]"
DEWI RINJANI,PT,IUP,298/KPTS/MU/2016,3682032132014012,Maluku Utara,KAB. HALMAHERA UTARA,2016-05-09,2036-05-01,OPERASI PRODUKSI,901.2,CNC-10,-,KAB. HALMAHERA UTARA,Non-Metallic Mineral,"[[[14223600.55948906, 252885.16328408947], [14228331.637847776, 252885.16328408947], [14228331.637847776, 250972.99722076644], [14223600.55948906, 250972.99722076644], [14223600.55948906, 252885.16328408947]]]"
DHARMA BUMI KENDARI,PT,IUP,154 TAHUN 2010,3474012122014026,Sulawesi Tenggara,KAB. KOLAKA,2010-04-12,2027-12-31,OPERASI PRODUKSI,1000.0,CNC-3,-,KAB. KOLAKA,Nickel,"[[[13541088.429684948, -478813.67140018335], [13551292.642128006, -478813.67140018335], [13551292.642128006, -479837.0201819675], [13541088.429684948, -479837.0201819675], [13541088.429684948, -478813.67140018335]]]"
DHARMA BUMI KOLAKA,PT,IUP,167 TAHUN 2010,3474012122014011,Sulawesi Tenggara,KAB. KOLAKA,2010-04-12,2030-04-12,OPERASI PRODUKSI,1075.0,CNC-7,-,KAB. KOLAKA,Nickel,"[[[13541088.429684948, -479837.0201819675], [13552065.755991563, -479837.0201819675], [13552065.755991563, -480829.3464885737], [13541088.429684948, -480829.3464885737], [13541088.429684948, -479837.0201819675]]]"
DHARMA KARTAPURA,CV,IUP,570/1070-Periz/DPM&PTSP/V/2020,2113065002020001,Sumatera Barat,KAB. AGAM,2020-05-14,2025-10-27,OPERASI PRODUKSI,1.0,CNC,-,KAB. AGAM,"Sand, Stone, Gravel","[[[11175325.028160503, -22728.70513700359], [11175325.028160503, -22859.197126443734], [11175318.843694873, -22859.197126443734], [11175318.843694873, -22863.526257930855], [11175313.586965876, -22863.526257930855], [11175313.586965876, -22866.6185106161], [11175309.257862197, -22866.6185106161], [11175309.257862197, -22869.092268237597], [11175303.382642115, -22869.092268237597], [11175303.382642115, -22873.421399748015], [11175297.507533347, -22873.421399748015], [11175297.507533347, -22876.82289998621], [11175289.776951307, -22876.82289998621], [11175289.776951307, -22881.461167733403], [11175282.355614815, -22881.461167733403], [11175282.355614815, -22870.947642118936], [11175274.934389647, -22870.947642118936], [11175274.934389647, -22858.269495172444], [11175263.802440565, -22858.269495172444], [11175263.802440565, -22844.972853253945], [11175250.815129533, -22844.972853253945], [11175250.815129533, -22728.70513700359], [11175325.028160503, -22728.70513700359]]]"
DHARMA POWER BERSAMA,PT,IUP,540-761-2013,3113022332017050,Sumatera Barat,KAB. SOLOK,2013-09-09,2033-09-09,OPERASI PRODUKSI,190.0,CNC-25,-,KAB. SOLOK,Iron,"[[[11239079.865033988, -106902.63817197982], [11240454.66074529, -106902.63817197982], [11240454.66074529, -107490.24071208597], [11240114.517918598, -107490.24071208597], [11240114.517918598, -107954.1380046394], [11240423.738639776, -107954.1380046394], [11240423.738639776, -108170.62369959954], [11240083.595813084, -108170.62369959954], [11240082.049696675, -108603.59535223716], [11239079.865033988, -108603.59535223716], [11239079.865033988, -106902.63817197982]]]"
DHARMA PUTRA NUSANTARA,CV,IUP,503/1653/IUP-OP/DPMPTSP/X/2017,3364003032015001,Kalimantan Timur,KAB. KUTAI KARTANEGARA,2017-10-03,2027-10-03,OPERASI PRODUKSI,100.0,CNC-16,-,KAB. KUTAI KARTANEGARA,Coal,"[[[13024746.849507308, -111913.98945606792], [13026224.924881814, -111913.98945606792], [13026224.61574759, -112592.21575109888], [13024746.849507308, -112592.21575109888], [13024746.849507308, -111913.98945606792]]]"
DHARMA ROSADI INTERNASIONAL,PT,IUP,540/KEP/257/2012,3682022122014009,Maluku Utara,KAB. HALMAHERA TENGAH,2012-05-28,2029-12-21,OPERASI PRODUKSI,1017.0,CNC-22,-,KAB. HALMAHERA TENGAH,Nickel,"[[[14268867.096660197, 60253.189055191164], [14269338.646023195, 60253.189055191164], [14269338.646023195, 60340.889021723175], [14271669.56484093, 60340.96216190156], [14271669.56484093, 56688.97253187842], [14268867.096660197, 56688.97253187842], [14268867.096660197, 60253.189055191164]]]"
DHARMA ROSADI INTERNASIONAL,PT,IUP,540/KEP/324.a/2009,3482022122024001,Maluku Utara,KAB. HALMAHERA TENGAH,2009-12-21,2029-12-21,OPERASI PRODUKSI,540.0,I.T,-,KAB. HALMAHERA TENGAH,Nickel,"[[[14264665.082771836, 63082.073234758514], [14262809.757888176, 63082.073234758514], [14262809.757888176, 64988.88664739479], [14263737.420274347, 64988.88664739479], [14263737.420274347, 66792.9152642545], [14264665.082771836, 66792.9152642545], [14264665.082771836, 63082.073234758514]]]"
DHEA HARUM PERKASA,PT,IUP,1178/1/IUP/PMDN/2021,2472035332020013,Sulawesi Tengah,KAB. DONGGALA,2021-10-22,2026-09-15,OPERASI PRODUKSI,21.6,CNC,-,KAB. DONGGALA,"Sand, Stone, Gravel","[[[13332676.660332164, -79208.01807363196], [13332425.26385256, -79208.01807363196], [13332425.26385256, -79497.16199191366], [13331962.360340457, -79497.16199191366], [13331962.360340457, -79245.74593501174], [13332028.224298298, -79245.74593501174], [13332028.224298298, -79144.31370388555], [13332059.764894895, -79144.31370388555], [13332059.764894895, -79061.74547271797], [13332117.898382014, -79061.74547271797], [13332117.898382014, -78903.72146258628], [13332258.90299614, -78903.72146258628], [13332258.90299614, -79141.2212330112], [13332659.962408548, -79141.2212330112], [13332659.962408548, -78864.75666087144], [13332676.660332164, -78864.75666087144], [13332676.660332164, -79208.01807363196]]]"
DHIKA YOGATAMA,CV,IUP,12490003327540003,3119064052014155,Bangka Belitung,KAB. BELITUNG TIMUR,2022-11-28,2032-11-28,OPERASI PRODUKSI,152.7,CNC,-,KAB. BELITUNG TIMUR,Non-Metallic Mineral,"[[[12027279.374957712, -355506.47390965716], [12027746.298327954, -355506.47390965716], [12027746.298327954, -355599.3842909195], [12028145.193244174, -355599.3842909195], [12028145.193244174, -355500.27983488864], [12028287.434729166, -355500.27983488864], [12028287.434729166, -355178.1909726935], [12028575.010154596, -355178.1909726935], [12028575.010154596, -355032.63194747886], [12028748.173745096, -355032.63194747886], [12028748.173745096, -354887.07299549854], [12028946.0750868, -354887.07299549854], [12028946.0750868, -354806.5511535798], [12029375.891997216, -354806.5511535798], [12029375.891997216, -354887.07299549854], [12029215.097226657, -354887.07299549854], [12029215.097226657, -355227.74310645607], [12029060.486810409, -355227.74310645607], [12029060.486810409, -356119.68406484986], [12027931.830849716, -356119.68406484986], [12027931.830849716, -356252.85635210027], [12027826.695824558, -356252.85635210027], [12027826.695824558, -356407.7081140082], [12027631.886715665, -356407.7081140082], [12027631.886715665, -356274.5356463467], [12027532.936044814, -356274.5356463467], [12027532.936044814, -355924.57138632296], [12027375.23339575, -355924.57138632296], [12027375.23339575, -355779.0113012489], [12027279.374957712, -355779.0113012489], [12027279.374957712, -355506.47390965716]]]"
DIAMOND ALFA PROPERTINDO,PT,IUP,91200047317720001,2474145442016032,Sulawesi Tenggara,KAB. BUTON TENGAH,2023-11-14,2028-12-17,OPERASI PRODUKSI,4331.95,CNC,-,KAB. BUTON TENGAH,Non-Metallic Mineral,"[[[13619606.667709956, -590550.8011232477], [13623664.572394915, -590550.8011232477], [13623664.572394915, -593225.9067009275], [13622770.61510153, -593225.9067009275], [13622770.61510153, -594019.7007638065], [13622293.796541752, -594019.7007638065], [13622293.796541752, -596497.1054458483], [13622598.379025025, -596497.1054458483], [13622598.379025025, -596998.3738062762], [13622969.753202783, -596998.3738062762], [13622969.753202783, -598679.5442960634], [13622855.341590483, -598679.5442960634], [13622855.341590483, -598886.0829475629], [13622626.827388821, -598886.0829475629], [13622626.827388821, -599392.0277045715], [13614708.610115053, -599392.0277045715], [13614708.610115053, -596408.9024524128], [13619606.667709956, -596408.9024524128], [13619606.667709956, -590550.8011232477]]]"
DIAN DARELL PERDANA,PT,IUP,28112200102690002,2113715122023001,Sumatera Barat,KOTA PADANG,2025-06-16,2030-06-16,OPERASI PRODUKSI,4.13,CNC,-,KOTA PADANG,Non-Metallic Mineral,"[[[11178118.83813387, -97954.79803413498], [11178195.834152104, -97954.79803413498], [11178195.834152104, -97922.32609567807], [11178237.578961154, -97922.32609567807], [11178237.578961154, -97898.51327562319], [11178367.142491972, -97898.51327562319], [11178367.142491972, -97940.26300428447], [11178446.612140616, -97940.26300428447], [11178446.612140616, -98080.97509600557], [11178349.207586173, -98080.97509600557], [11178349.207586173, -97999.33108422252], [11178278.086899336, -97999.33108422252], [11178278.086899336, -98025.30877319782], [11178251.803031728, -98025.30877319782], [11178251.803031728, -98040.46237018784], [11178228.611508254, -98040.46237018784], [11178228.611508254, -98057.16226685858], [11178193.66954461, -98057.16226685858], [11178193.66954461, -98079.1195146852], [11178118.83813387, -98079.1195146852], [11178118.83813387, -97954.79803413498]]]"
