url,modi_company_id,profil_perusahaan,perizinan_data
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426849066717652,611426849066717652,"{
  ""Nama Perusahaan"": ""ABADI SILIKA PERSADA"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IUP"",
    ""NomorPerizinan"": ""27052200520920008"",
    ""TahapanKegiatan"": ""OPERASI PRODUKSI"",
    ""KodeWIUP"": ""2362074052023036"",
    ""Komoditas"": ""Pasir Kuarsa"",
    ""Luas(ha)"": ""2361.68000000"",
    ""TglMulaiBerlaku"": ""2024-02-07"",
    ""TglBerakhir"": ""2044-02-07"",
    ""Tahapan CNC"": ""CNC"",
    ""Lokasi"": ""KAB. SERUYAN"",
    ""Kabupaten"": ""KAB. SERUYAN"",
    ""Provinsi"": ""Kalimantan Tengah""
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426649241686366,611426649241686366,"{
  ""Nama Perusahaan"": ""ABSAH INTERNASIONAL"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""91205008122860002"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2023-10-30"",
    ""TglBerakhir"": ""2028-10-30"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426841206592245,611426841206592245,"{
  ""Nama Perusahaan"": ""ABU BARA INDONESIA"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""09012300163570001"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2023-01-21"",
    ""TglBerakhir"": ""2028-01-20"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426856452887359,611426856452887359,"{
  ""Nama Perusahaan"": ""ABIMANYU BARA UTAMA"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""16052300919150004"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2023-06-27"",
    ""TglBerakhir"": ""2028-06-26"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426912010637835,611426912010637835,"{
  ""Nama Perusahaan"": ""ACEH COAL ENERGY"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""16052400924930001"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2024-08-30"",
    ""TglBerakhir"": ""2029-08-30"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426704161903612,611426704161903612,"{
  ""Nama Perusahaan"": ""ACEH MINERAL PRIMA DEVELOPMENT"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IUP"",
    ""NomorPerizinan"": ""08122100413060010"",
    ""TahapanKegiatan"": ""OPERASI PRODUKSI"",
    ""KodeWIUP"": ""2113074292020180"",
    ""Komoditas"": ""Kalsit"",
    ""Luas(ha)"": ""16.01000000"",
    ""TglMulaiBerlaku"": ""2023-01-31"",
    ""TglBerakhir"": ""2027-10-18"",
    ""Tahapan CNC"": ""CNC"",
    ""Lokasi"": ""KAB. LIMA PULUH KOTA"",
    ""Kabupaten"": ""KAB. LIMA PULUH KOTA"",
    ""Provinsi"": ""Sumatera Barat""
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426883795556288,611426883795556288,"{
  ""Nama Perusahaan"": ""ABADI DUA PUTRI"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IUP"",
    ""NomorPerizinan"": ""15102100005760005"",
    ""TahapanKegiatan"": ""OPERASI PRODUKSI"",
    ""KodeWIUP"": ""1476015352022001"",
    ""Komoditas"": ""Kerikil Berpasir Alami (Sirtu)"",
    ""Luas(ha)"": ""6.00000000"",
    ""TglMulaiBerlaku"": ""2023-08-21"",
    ""TglBerakhir"": ""2028-08-21"",
    ""Tahapan CNC"": ""CNC"",
    ""Lokasi"": ""KAB. PASANGKAYU"",
    ""Kabupaten"": ""KAB. PASANGKAYU"",
    ""Provinsi"": ""Sulawesi Barat""
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426856490635572,611426856490635572,"{
  ""Nama Perusahaan"": ""ABIMAS JAYA BARA"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""19012300187810003"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2023-07-15"",
    ""TglBerakhir"": ""2028-07-15"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426878175186993,611426878175186993,"{
  ""Nama Perusahaan"": ""ABU HASAN"",
  ""Jenis Badan Usaha"": ""SDR""
}","[
  {
    ""JenisPerizinan"": ""IUP"",
    ""NomorPerizinan"": ""15.02/71/XII/2020"",
    ""TahapanKegiatan"": ""OPERASI PRODUKSI"",
    ""KodeWIUP"": ""2235275442020008"",
    ""Komoditas"": ""Batu Gamping"",
    ""Luas(ha)"": ""7.30000000"",
    ""TglMulaiBerlaku"": ""2020-12-10"",
    ""TglBerakhir"": ""2025-12-10"",
    ""Tahapan CNC"": ""CNC"",
    ""Lokasi"": ""KAB. SAMPANG"",
    ""Kabupaten"": ""KAB. SAMPANG"",
    ""Provinsi"": ""Jawa Timur""
  }
]"
https://minerbaone.esdm.go.id/api/common/v2/publik/badan-usaha/611426856419334836,611426856419334836,"{
  ""Nama Perusahaan"": ""ACCEL RESOURCES INDONESIA"",
  ""Jenis Badan Usaha"": ""PT""
}","[
  {
    ""JenisPerizinan"": ""IPP"",
    ""NomorPerizinan"": ""28072200685010001"",
    ""TahapanKegiatan"": null,
    ""KodeWIUP"": null,
    ""Komoditas"": null,
    ""Luas(ha)"": null,
    ""TglMulaiBerlaku"": ""2022-10-21"",
    ""TglBerakhir"": ""2027-10-21"",
    ""Tahapan CNC"": null,
    ""Lokasi"": """",
    ""Kabupaten"": null,
    ""Provinsi"": null
  }
]"
