,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
33,121.934,-5.413,ektkRTVyRi9ERWt6VElEMFlIakxWZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,"Salgado, Purano, Bangko",Bombana,Sulawesi Tenggara,"Nikel Salgado, Purano, Bangko",12608000.0,6037000.0,Ton,2022
34,128.08,1.113,RWJVekE3TlYvYUkrdU0zN2FidmtYZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Wasile,Halmahera Timur,Maluku Utara,Nikel Wasile,7850000.0,5100000.0,Ton,2022
35,128.037,0.812,dDhOL0x1MkJoSG9wV2wrWnJNZ3lKZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tofu Blewen,Halmahera Timur,Maluku Utara,Nikel Tofu Blewen,81880000.0,65030000.0,Ton,2022
36,128.035,0.712,dnQ2QVNBUHZIMlIrT2ZWZUdyd3Uydz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Blikep Nuw,Halmahera Timur,Maluku Utara,Nikel Blikep Nuw,153700000.0,0.0,Ton,2022
37,128.167,0.757,L1NKb3RUNWZxSVJRdUs3UkhlL3Urdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sangaji,Halmahera Timur,Maluku Utara,Nikel Sangaji,579390000.0,159570000.0,Ton,2022
38,128.206,0.775,cU9lUVdvUjZIRkJ5bnRzMGNFdElVdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,P4P5,Halmahera Timur,Maluku Utara,Nikel P4P5,0.0,0.0,Ton,2022
39,128.205,0.811,UmhuWkFubGlUWE5HeU91WlZxSi83Zz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,P1,Halmahera Timur,Maluku Utara,Nikel P1,5440000.0,0.0,Ton,2022
40,128.242,0.845,NU0yV1ZtZC9xelBvekRDUmxRUUZDdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,P8,Halmahera Timur,Maluku Utara,Nikel P8,2700000.0,0.0,Ton,2022
41,128.286,0.832,czh3Tm94bEgwVVpxRElXb2VCb203Zz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tanjung Buli,Halmahera Timur,Maluku Utara,Nikel Tanjung Buli,41210000.0,9940000.0,Ton,2022
42,128.328,0.83,Yk1EbzlCK21SNEtUUkhrQm5MdU1RQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pulau Gee,Halmahera Timur,Maluku Utara,Nikel Pulau Gee,0.0,1500000.0,Ton,2022
43,128.34,0.786,M2t3c1RoR1NqcEl5MTNrVSt6RExzZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pulau Pakal,Halmahera Timur,Maluku Utara,Nikel Pulau Pakal,52160000.0,26010000.0,Ton,2022
44,127.898,0.666,UXlZeUVGY253S0pjdHBpOFh0K2E1dz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Fonli-Big Kahuna,Halmahera Timur,Maluku Utara,Nikel Fonli-Big Kahuna,37670000.0,0.0,Ton,2022
45,127.933,0.648,QjNiWVRTRWMxREVCZWwrK1VmaW8xdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Ake Jira,Halmahera Timur,Maluku Utara,Nikel Ake Jira,30320000.0,52560000.0,Ton,2022
46,128.045,0.606,a1hWS1hYT1dMSVBHSEFlOEplRHd5Zz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Boki Mekot,Halmahera Tengah,Maluku Utara,Nikel Boki Mekot,37790000.0,0.0,Ton,2022
47,127.968,0.542,TXNFelhvQy9nQVpxZ2RodEV2NSthUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Bukit Limber Barat,Halmahera Tengah,Maluku Utara,Nikel Bukit Limber Barat,131710000.0,81740000.0,Ton,2022
