,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,113.300901,-1.456016,Batubara,Rendah (< 5100),Swasta,Katingan,Kalimantan Tengah,Batubara Katingan Tengah,0,16,24.2,25.7,65.9,16.6,22.1,38.7,Juta Ton,2022
,115.812229,-0.499204,Batubara,Rendah (< 5100),Swasta,Kutai Barat,Kalimantan Timur,Batubara Dingin,0,27.086,17.623,16.14,60.849,2.119,0,2.119,Juta Ton,2022
,119.869379,-3.485776,Batubara,Rendah (< 5100),Pemerintah,Enrekang,Sulawesi Selatan,Batubara Baraka,0.648,0,0,0,0,0,0,0,Juta Ton,2022
,115.120343,-1.191924,Batubara,Rendah (< 5100),Swasta,Barito Utara,Kalimantan Tengah,Batubara Payang Ara,0,2.73,1.82,0.91,5.46,1.82,0.9,2.72,Juta Ton,2022
,116.72051,0.904313,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Long Melah,0,887.53,557.19,397.99,1842.71,397.99,358.19,756.18,Juta Ton,2022
,111.889562,-2.503889,Batubara,Rendah (< 5100),Swasta,Kotawaringin Barat,Kalimantan Tengah,Batubara Pangkalan Banteng,0,306.33,235.64,104.29,646.26,0,59.25,59.25,Juta Ton,2022
,115.90696,0.136646,Batubara,Rendah (< 5100),Swasta,Kutai Barat,Kalimantan Timur,Batubara Muara Batuq 5,0,0,0,40.64,40.64,0,7.76,7.76,Juta Ton,2022
,114.803517,-1.054287,Batubara,Rendah (< 5100),Swasta,Barito Utara,Kalimantan Tengah,Batubara Bintang Ninggi,0,0,0,3.77,3.77,1.99,0,1.99,Juta Ton,2022
,115.372132,-1.823024,Batubara,Rendah (< 5100),Swasta,Tabalong,Kalimantan Selatan,Batubara Panaan,0,8.89,19.36,23.36,51.61,6.18,4.8,10.98,Juta Ton,2022
,115.479961,-0.317369,Batubara,Rendah (< 5100),Swasta,Kutai Barat,Kalimantan Timur,Batubara Sembuan 2,0,21.69,13.8,9.72,45.21,9.048,8.14,17.188,Juta Ton,2022
,112.565459,-1.969331,Batubara,Rendah (< 5100),Swasta,Kotawaringin Timur,Kalimantan Tengah,Batubara Bawan,0,0,0,6.87,6.87,6.87,0,6.87,Juta Ton,2022
,117.640761,1.30979,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Karangan Seberang,0,7.42,1.07,6.73,15.22,6.41,6.1,12.51,Juta Ton,2022
